lsoa21cd,lsoa21nm,HEI_pca,HCI,Affordability,lisa_I,lisa_q,lisa_p,lisa_label,lisa_label_01
E01003912,Southwark 019A,0.7342137158347178,0.7082990072025098,0.1774288573218744,0.7048461234613711,1,0.124,ns,ns
E01003923,Southwark 017A,0.6061376071938378,0.5500929146382825,0.2905838235156592,0.9511461329656813,1,0.022,HH,ns
E01003924,Southwark 021E,0.911947195952849,0.8182892255881917,0.0488436684653006,1.8074780910338364,1,0.045,HH,ns
E01003925,Southwark 020E,0.6058180062437745,0.5472569630926979,0.1400222569272348,1.0421066172057298,1,0.011,HH,ns
E01003926,Southwark 021F,0.4302640036986707,0.409717271835134,0.0408947658814398,-0.007518707967910218,2,0.014,LH,ns
E01003936,Southwark 009A,0.2676538390235952,0.430582962017655,0.3855030720170572,0.3710703912633929,3,0.182,ns,ns
E01003937,Southwark 009B,0.4178982164569612,0.7160878893605785,0.1680772072232145,0.0753970457449121,3,0.001,LL,LL
E01003938,Southwark 006A,0.3586419089117402,0.4955355951802026,0.1446980819765647,0.21913191802300236,3,0.127,ns,ns
E01003940,Southwark 006B,0.5964172359407444,0.5547588818329697,0.1517118195505596,-0.3528629424825798,4,0.193,ns,ns
E01003941,Southwark 006C,0.5564703104807449,0.424980186313348,0.4133242310605705,-0.06722796009227965,4,0.405,ns,ns
E01003943,Southwark 009C,0.4459653862144136,0.6602966006629395,0.1914563324698642,-0.020365941442600545,4,0.299,ns,ns
E01003954,Southwark 030B,0.4645722051386148,0.4696589301569615,0.4018684596897121,0.10801772212483968,1,0.076,ns,ns
E01003958,Southwark 032D,0.3671999810957929,0.5146867117564639,0.3635266942852064,0.11029215324904297,3,0.224,ns,ns
E01003963,Southwark 016A,0.4576036561408653,0.5989859797861753,0.0652090561379555,0.09327556375392251,1,0.085,ns,ns
E01003971,Southwark 015D,0.510904291995022,0.4127396006801153,0.1739219885348769,0.3409352695103198,1,0.011,HH,ns
E01003972,Southwark 016D,0.6338295011368182,0.5998397654736654,0.111967306631255,0.5530811299324526,1,0.111,ns,ns
E01003973,Southwark 016E,0.5217871609855887,0.5715981308056673,0.1774288573218744,0.11407366498003176,1,0.27,ns,ns
E01003975,Southwark 004A,0.6587396862042167,0.5172582396597037,0.0979398314832651,1.033010702093227,1,0.009,HH,HH
E01003991,Southwark 017C,0.4870705732843597,0.4793992538584283,0.1591931396294876,0.09617935404700736,1,0.207,ns,ns
E01003992,Southwark 014A,0.6717766128645667,0.5138996252333218,0.1178120879429175,-0.28516554630321284,4,0.362,ns,ns
E01003993,Southwark 017D,0.4523935976633627,0.3810517804179596,0.1774288573218744,0.055323323437178724,1,0.156,ns,ns
E01003995,Southwark 014B,0.4084567833707601,0.7247758159608196,0.1774288573218744,0.08564196563421576,3,0.113,ns,ns
E01003997,Southwark 017E,0.3552647382558833,0.5006047827219362,0.121318956729915,-0.048051634611116036,2,0.409,ns,ns
E01003998,Southwark 014D,0.2451002704486937,0.5281361859923753,0.3064816286833811,-0.10919016406419796,2,0.421,ns,ns
E01004003,Southwark 023B,0.4551275180072334,0.346438583017419,0.0235942131989189,-0.004466182548417183,4,0.48,ns,ns
E01004007,Southwark 018E,0.3191687271527276,0.3418904802798052,0.0231266306939859,0.12495159753720593,3,0.335,ns,ns
E01004008,Southwark 022B,0.4892304822006662,0.389017915953135,0.0100343205558621,-0.09150870289531421,4,0.261,ns,ns
E01004019,Southwark 026C,0.434803190446518,0.5062533841021886,0.2288629328645038,-0.004311505620112036,4,0.307,ns,ns
E01004024,Southwark 011C,0.5203825652008156,0.3675026466039799,0.0366865233370428,0.2658504825558338,1,0.081,ns,ns
E01004036,Southwark 007E,0.6296817444975962,0.5101965393217551,0.010969485565728,0.05402767612770777,1,0.448,ns,ns
E01004044,Southwark 013E,0.5796805744449007,0.4752370216225267,0.2802970084071333,0.5404064572265596,1,0.05,ns,ns
E01004045,Southwark 027A,0.5324599521257863,0.4906705758462737,0.0558574060392956,0.014989945649001456,1,0.475,ns,ns
E01004065,Southwark 025D,0.4258001406050386,0.442228114482591,0.3317310839497628,-0.008125427414143752,2,0.267,ns,ns
E01004071,Southwark 030D,0.6056120825608683,0.6068240940087771,0.212965127696782,0.29613832338950014,1,0.23,ns,ns
E01032637,Southwark 035E,0.5416296447811966,0.4834053404438491,0.4111967306631253,-0.288385827469975,4,0.218,ns,ns
E01032638,Southwark 035D,0.5773368853951899,0.3717619839676471,0.3551102091964125,0.9240739297779959,1,0.018,HH,ns
E01032639,Southwark 014F,0.2909271255745705,0.5501291424377871,0.212497545191849,0.14488017010001264,3,0.327,ns,ns
E01032640,Southwark 035B,0.3397663901760644,0.4078626878539436,0.5000607857256412,0.2663362788429912,3,0.168,ns,ns
E01032719,Southwark 014G,0.4819883140670835,0.6568829212647345,0.0745607062366154,-0.16828557235483604,4,0.126,ns,ns
E01032803,Southwark 036C,0.2478222830340384,0.4021605886171135,0.2849728334564633,0.04253522749842232,3,0.467,ns,ns
E01032834,Southwark 035C,0.5913934129796925,0.4276572214546276,0.6590388374028595,0.08436114342881482,1,0.408,ns,ns
E01033870,Southwark 004G,0.7478849273116968,0.4537733711325222,0.2195112827658439,1.949993033561343,1,0.009,HH,HH
E01033872,Southwark 004I,0.7478849273116968,0.617338786440741,0.2195112827658439,1.7514788021965781,1,0.004,HH,HH
E01033874,Southwark 009H,0.445359382869322,0.4260736338121427,0.0558574060392956,-0.03203275344258081,4,0.174,ns,ns
E01033875,Southwark 012G,0.4092231163765919,0.5964690395939966,0.2475662330618236,0.005552637612058145,3,0.466,ns,ns
E01033876,Southwark 012H,0.4092231163765919,0.4991286485252747,0.2475662330618236,0.022389900407255647,3,0.355,ns,ns
E01033882,Southwark 022G,0.3351674561453642,0.4522170933402829,0.1914563324698642,-0.3007181221906846,2,0.084,ns,ns
E01033883,Southwark 022H,0.3351674561453642,0.716932118537133,0.1914563324698642,0.16981005460790546,3,0.233,ns,ns
E01033885,Southwark 036A,0.1113786926812219,0.5220803713241028,0.8928300898693571,-0.405596944330546,2,0.255,ns,ns
E01003911,Southwark 020A,0.656308054932155,0.5753468229756321,0.121318956729915,0.6904009917820365,1,0.078,ns,ns
E01003914,Southwark 024B,0.5161413996037427,0.4930063201602214,0.3013382211291181,0.21692801229772465,1,0.106,ns,ns
E01003915,Southwark 024C,0.4227637859595917,0.3735945042364564,0.1208513742249819,-0.030155638769712157,2,0.095,ns,ns
E01003917,Southwark 020C,0.5239393924104478,0.4932200972105353,0.0633387261182235,0.5350566047608337,1,0.005,HH,HH
E01003922,Southwark 021D,0.6344681678071067,0.6463933372296775,0.1026156565325951,0.6805463153429231,1,0.126,ns,ns
E01003930,Southwark 034A,0.0012001797977121,0.585754753063713,0.4343654437825552,4.208685316167729,3,0.001,LL,LL
E01003942,Southwark 006D,0.41146644270346,0.4980174194560671,0.1797667698465394,0.011179717742729115,3,0.4,ns,ns
E01003952,Southwark 030A,0.5701591667039994,0.536996253736303,0.4252475849363618,0.5153601443782401,1,0.053,ns,ns
E01003955,Southwark 028B,0.4278744037737507,0.4992107926664965,0.4046739547193101,0.0026686856400660996,3,0.378,ns,ns
E01003956,Southwark 030C,0.5565130216295792,0.4990776830695744,0.3118588274901105,0.14550921444731826,1,0.316,ns,ns
