lsoa21cd,lsoa21nm,HEI_pca,HEI_quintile,HCI,HCI_quintile,Affordability,Aff_quintile,median_house_price,transport_ptai,hospital,avg_epc_rating_num,overcrowding_proxy
E01003912,Southwark 019A,0.7342137158347178,Q5 (worst),0.7082990072025098,Q5 (worst condition),0.1774288573218744,Q3,,13.4737,1.198,4.235820895522388,0.0045196606619655
E01003923,Southwark 017A,0.6061376071938378,Q5 (worst),0.5500929146382825,Q4,0.29058382351565926,Q4,606000.0,19.9945,0.7519230769230769,4.294444444444444,0.0034476935438747
E01003924,Southwark 021E,0.911947195952849,Q5 (worst),0.8182892255881917,Q5 (worst condition),0.048843668465300694,Q1 (most affordable),347500.0,23.2131,0.7126984126984127,4.275316455696203,0.0056244937839341
E01003925,Southwark 020E,0.6058180062437745,Q5 (worst),0.5472569630926979,Q4,0.1400222569272348,Q2,445000.0,16.701,1.0341880341880345,4.428023032629558,0.0040003407194309
E01003926,Southwark 021F,0.4302640036986707,Q3,0.40971727183513407,Q1 (best condition),0.04089476588143981,Q1 (most affordable),339000.0,15.3548,1.256060606060606,4.5338078291814945,0.0033049515847329
E01003936,Southwark 009A,0.2676538390235952,Q1 (best),0.430582962017655,Q2,0.38550307201705725,Q5 (least affordable),707500.0,55.6753,0.8272222222222222,4.582258064516129,0.0036887605931756
E01003937,Southwark 009B,0.4178982164569612,Q3,0.7160878893605785,Q5 (worst condition),0.1680772072232145,Q3,475000.0,76.3364,0.6408333333333334,4.319054652880355,0.0049440476018422
E01003938,Southwark 006A,0.3586419089117402,Q2,0.4955355951802026,Q3,0.14469808197656475,Q2,450000.0,63.9147,0.634375,4.6979768786127165,0.0047320518650091
E01003940,Southwark 006B,0.5964172359407444,Q5 (worst),0.5547588818329697,Q5 (worst condition),0.15171181955055968,Q2,457500.0,31.057,0.9198717948717948,4.633281972265023,0.0049488684218718
E01003941,Southwark 006C,0.5564703104807449,Q4,0.424980186313348,Q1 (best condition),0.4133242310605705,Q5 (least affordable),737250.0,19.919,0.7807692307692308,4.638686131386861,0.0038853285425432
