lsoa21cd,lsoa21nm,cluster_type,pop_label,joint_type,housing_score,pop_score,joint_score,pop_vuln_score,priority_score,priority_tier,HEI_bayes,HEI_adjusted,pct_poor_health,pct_low_nssec,pct_elderly_alone,pct_dep_children,pct_deprived_2plus,pct_long_commute,pct_large_hh,avg_epc_rating_num_al,overcrowding_proxy_al,median_house_price_al,transport_ptai_al,hospital_al
E01003911,Southwark 020A,C,Deprived,Housing Disadvantage,3,4,7,0.502876829960486,0.7745664739884393,Tier 5 (highest),0.7241198875528306,0.3280765899708554,0.0377809660449545,0.302741358760429,0.0542328042328042,0.3306878306878307,0.2250332889480692,0.0235294117647058,0.1205298013245033,0.5014798404726882,0.6421849822839356,0.1049019994478848,0.8966846713718452,0.8131177614892235
E01003912,Southwark 019A,C,Deprived,Housing Disadvantage,3,4,7,0.6356052326424103,0.9190751445086704,Tier 5 (highest),0.7889974912816958,0.3320178947785282,0.0423901940755873,0.3983516483516483,0.0465465465465465,0.4444444444444444,0.2754491017964072,0.0330459770114942,0.1263001485884101,0.6590489873465287,0.7169541339624299,0.1640572622944364,0.9050962714052008,0.7491471233503847
E01003913,Southwark 024A,D,Family,Housing Disadvantage,4,2,6,0.33751674233233736,0.5115606936416185,Tier 3,0.6759662793958232,0.2592512200463158,0.0215897939156035,0.2073863636363636,0.07168458781362,0.2556750298685782,0.1137440758293838,0.0194647201946472,0.0681818181818181,0.5924729328840064,0.3536115008475993,0.3020862089363901,0.7842369340098798,0.8674025864626229
E01003914,Southwark 024B,D,Family,Housing Disadvantage,4,2,6,0.3977554132575053,0.5982658959537572,Tier 4,0.6886343826471837,0.1396607348973219,0.0404749055585536,0.2,0.0868347338935574,0.226890756302521,0.1833333333333333,0.016873889875666,0.0861111111111111,0.6743681011950513,0.29459545139854,0.2567338407540339,0.9011854424484872,0.8419378993104314
E01003915,Southwark 024C,C,Mixed_0,Double Disadvantage,3,3,6,0.5072791970351712,0.4595375722543352,Tier 2,0.4546784957616913,0.3870516851347437,0.0561252023745277,0.329137822529893,0.065081351689612,0.2265331664580726,0.2327909887359199,0.0296846011131725,0.0736579275905118,0.3092087515737791,0.476552293942043,0.1045076310289078,0.9684277503054196,0.628479731176469
E01003916,Southwark 020B,C,Mixed_0,Double Disadvantage,3,3,6,0.3810943694618255,0.4595375722543352,Tier 2,0.579094488852276,0.2591763188229334,0.021982579842389,0.2622632345798931,0.0539647577092511,0.2433920704845815,0.1533406352683461,0.0205278592375366,0.1017699115044247,0.4945867365719868,0.4615531837111243,0.0974089994873216,0.9696229792612254,0.7052219472226638
E01003917,Southwark 020C,C,Mixed_0,Double Disadvantage,3,3,6,0.46995796104005233,0.5838150289017341,Tier 4,0.5856230187881901,0.2700238871580765,0.0465608465608465,0.3125,0.1154285714285714,0.1965714285714285,0.2334096109839817,0.018095238095238,0.0619977037887485,0.4914889773533787,0.4987079504941082,0.0560003154947355,0.9195140835664044,0.7256426381807056
E01003918,Southwark 020D,C,Deprived,Housing Disadvantage,3,4,7,0.5981004602345984,0.9132947976878613,Tier 5 (highest),0.8231904372819979,0.2919379131866799,0.0546075085324232,0.3657937806873977,0.1612903225806451,0.2319508448540706,0.3050847457627119,0.0201072386058981,0.0775193798449612,0.4879386155019899,0.6706635307058412,0.0694088417399538,0.8504286472268765,0.958337632519612
E01003919,Southwark 021A,D,Mixed_0,Double Disadvantage,4,3,7,0.3752479781004939,0.5057803468208093,Tier 3,0.6377960761258022,0.2267533507595296,0.0370607028753993,0.2613138686131387,0.0802919708029197,0.2,0.1762114537444934,0.0123456790123456,0.0773722627737226,0.6398563445168872,0.3870245295645725,0.2054659462870225,0.829860507024521,0.7802942762330798
E01003920,Southwark 021B,C,Deprived,Housing Disadvantage,3,4,7,0.532355314123956,0.7947976878612717,Tier 5 (highest),0.7180475139463978,0.4093727452427056,0.0541310541310541,0.3575967648757943,0.0637583892617449,0.2874720357941834,0.243688254665203,0.0263157894736842,0.0814977973568281,0.449620898484201,0.7636602938906087,0.0319438419371378,0.8167801734831903,0.8048487185417774
E01003921,Southwark 021C,C,Mixed_0,Double Disadvantage,3,3,6,0.36778815747775795,0.6647398843930636,Tier 4,0.8288735395136897,0.4482732256015683,0.0380208333333333,0.2898809523809524,0.0552763819095477,0.1839195979899497,0.1880687563195146,0.0210970464135021,0.0313131313131313,0.4277805654829012,0.8029242250520388,0.112789367827425,0.6942277333078287,0.9859558459632976
E01003922,Southwark 021D,C,Deprived,Housing Disadvantage,3,4,7,0.5077151087779476,0.777456647398844,Tier 5 (highest),0.7158767371342343,0.4639379915461886,0.0384443451050514,0.3554817275747508,0.0699588477366255,0.2860082304526748,0.2345041322314049,0.0281329923273657,0.0694300518134715,0.4833716959365104,0.7961028376911361,0.0891272626888044,0.7637610694642443,0.7791025920782435
E01003923,Southwark 017A,D,Mixed_0,Double Disadvantage,4,3,7,0.4720783492309248,0.7745664739884393,Tier 5 (highest),0.7931648398525535,0.2461043747022934,0.0471524800979791,0.2691237830319888,0.0864197530864197,0.2002743484224965,0.217032967032967,0.0330138445154419,0.0519125683060109,0.608000753426206,0.4759895495666668,0.2476633671175626,0.8374882823783233,0.915279651179572
E01003924,Southwark 021E,C,Deprived,Housing Disadvantage,3,4,7,0.6447209140607851,0.9595375722543353,Tier 5 (highest),0.9681921684695026,0.3818900612605715,0.0457360647927584,0.447417548226509,0.1158940397350993,0.3200883002207506,0.2502756339581036,0.0337078651685393,0.0989988876529477,0.6246570299908301,0.9653065783321814,0.0437748945064482,0.8041176724099286,0.9298881016144104
E01003925,Southwark 020E,C,Deprived,Housing Disadvantage,3,4,7,0.5138535543954659,0.7514450867052023,Tier 5 (highest),0.6944988244331239,0.3306251489733597,0.0394088669950738,0.3589285714285714,0.0747330960854092,0.2680901542111507,0.2541766109785203,0.0231053604436229,0.0929678188319427,0.4916831448575672,0.6002176109763876,0.1206767362069652,0.8716354593903496,0.8101556502683245
E01003926,Southwark 021F,C,Deprived,Housing Disadvantage,3,4,7,0.5585154247543761,0.5664739884393064,Tier 3,0.5027690401675493,0.2910807485849014,0.0408017179670723,0.3307823129251701,0.1119005328596802,0.2841918294849023,0.2081128747795414,0.0318379160636758,0.1035087719298245,0.3995678236446391,0.4439029712752598,0.037070631383839,0.8855929300730853,0.7275235989017106
E01033867,Southwark 002F,B,Mixed_0,Population Disadvantage,2,3,5,0.32919900709679845,0.44653179190751446,Tier 2,0.639090244958512,0.6387053819845686,0.0348837209302325,0.1748750892219843,0.0748752079866888,0.1613976705490848,0.1818181818181818,0.0211640211640211,0.0329489291598023,0.4653426531508211,0.7627511462847016,0.1837756832432869,0.220330027743173,0.9368342208484076
E01033868,Southwark 002G,B,Professional,Double Advantage,2,1,3,0.09917872454876364,0.34826589595375723,Tier 2,0.639090244958512,0.8517897439681303,0.0106458481192335,0.0577211394302848,0.0264026402640264,0.0907590759075907,0.0630182421227197,0.0149253731343283,0.0083056478405315,0.4653426531508211,0.7627511462847016,0.1837756832432869,0.220330027743173,0.9368342208484076
E01003929,Southwark 002B,B,Professional,Double Advantage,2,1,3,0.24812429534256836,0.17630057803468208,Tier 1 (lowest),0.4606973221719709,0.8339787116412037,0.0400200100050025,0.163037409268565,0.0585501858736059,0.1226765799256505,0.1551401869158878,0.0086750788643533,0.0289719626168224,0.3773906254142094,0.6168431820158373,0.4578617344323092,0.0876137868619089,0.8087073105131508
E01003930,Southwark 034A,B,Mixed_0,Population Disadvantage,2,3,5,0.3976765930635539,0.3236994219653179,Tier 2,0.4566878630571802,0.7091470683715613,0.0443425076452599,0.1813441483198146,0.0623342175066313,0.2241379310344827,0.1509433962264151,0.037037037037037,0.0308310991957104,0.5820738734818338,0.5720040734100201,0.3689316559529934,0.021438662527019,0.7899523013623331
E01003932,Southwark 034B,B,Mixed_0,Population Disadvantage,2,3,5,0.4535935440552456,0.4710982658959537,Tier 3,0.5410576756083468,0.5305476852734307,0.0544394037589112,0.303054032889585,0.0463096960926193,0.2329956584659913,0.2478260869565217,0.0205391527599486,0.0677233429394812,0.5864885676972859,0.6430303693122632,0.112789367827425,0.2334787904231947,0.832287736888203
E01003933,Southwark 034C,B,Mixed_0,Population Disadvantage,2,3,5,0.32056609249782114,0.20520231213872833,Tier 1 (lowest),0.4366204134506616,0.51667408990818,0.0329531051964512,0.1877053026748005,0.0492610837438423,0.1458128078817734,0.1354268891069676,0.0273764258555133,0.0558276199804113,0.4731770339639269,0.4937352281419864,0.1823662105138631,0.3844189551040757,0.7626333364574462
E01003934,Southwark 002C,B,Professional,Double Advantage,2,1,3,0.2540395611222083,0.25722543352601157,Tier 1 (lowest),0.5393806767688355,0.8523692668338633,0.0414534288638689,0.1458333333333333,0.1011638316920322,0.0796777081468218,0.1125112511251125,0.0137575236457437,0.0151921358355674,0.2097162606382708,0.4227049192769363,0.7753283117088029,0.2584595732659991,0.931432115800243
E01003935,Southwark 002D,B,Mixed_0,Population Disadvantage,2,3,5,0.4726213377119911,0.3930635838150289,Tier 2,0.4161770352722079,0.4782237618247631,0.0435458786936236,0.2040280210157618,0.1244131455399061,0.2300469483568075,0.2369668246445497,0.024,0.0687203791469194,0.4225937408335964,0.4071543967857197,0.1640572622944364,0.3043890037944872,0.85960305991305
E01003936,Southwark 009A,B,Professional,Double Advantage,2,1,3,0.1576329017887783,0.28034682080924855,Tier 1 (lowest),0.5702553135432142,0.5731075347428718,0.0192423331328923,0.0492449113591595,0.0598290598290598,0.1538461538461538,0.0725388601036269,0.010559662090813,0.0258175559380378,0.3573783111989577,0.5301783585011798,0.3277201561698958,0.4675479169522691,0.887235973722249
E01003937,Southwark 009B,B,Professional,Double Advantage,2,1,3,0.25048767716271636,0.49710982658959535,Tier 3,0.7258128277394432,0.5672154967797488,0.0286271958360442,0.1827880512091038,0.0406824146981627,0.1089238845144357,0.1341145833333333,0.0182002022244691,0.0405759162303664,0.5865706677325779,0.8123509244652078,0.1443388413455859,0.2533325718898198,0.9566528291309402
E01003938,Southwark 006A,B,Mixed_0,Population Disadvantage,2,3,5,0.436574676390389,0.5722543352601156,Tier 4,0.6164929149504809,0.6425336627149404,0.0425764192139738,0.260327868852459,0.0513157894736842,0.2434210526315789,0.2234042553191489,0.0225988700564971,0.0857908847184986,0.2566126428011092,0.7646969771028799,0.1246204203967353,0.3821213949322632,0.9590581076529254
E01003939,Southwark 002E,B,Professional,Double Advantage,2,1,3,0.2299742856093421,0.2543352601156069,Tier 1 (lowest),0.5419942387260138,0.8138058328054026,0.0278481012658227,0.1455660903513664,0.0273660205245153,0.1322690992018244,0.1423690205011389,0.0168888888888888,0.0363636363636363,0.2874740823122035,0.770283300801379,0.2784241037977695,0.1173576524796715,0.9175695119749752
E01003940,Southwark 006B,C,Deprived,Housing Disadvantage,3,4,7,0.48925446390032923,0.7283236994219653,Tier 5 (highest),0.7039046743478563,0.5568258621861716,0.0532915360501567,0.3213740458015267,0.0796178343949044,0.2770700636942675,0.242472266244057,0.0117035110533159,0.1026856240126382,0.3129476954107932,0.8134345835395185,0.1305359466813905,0.7227917146857344,0.8527304727418427
E01003941,Southwark 006C,C,Professional,Housing Disadvantage,3,1,4,0.2717728473383456,0.5260115606936416,Tier 3,0.7404877970963869,0.4829200030822045,0.0317540322580645,0.1885057471264367,0.0498442367601246,0.1734164070612668,0.1382536382536382,0.0132090132090132,0.0414507772020725,0.3082418598879214,0.5743643353147747,0.3511850770990279,0.8382710702527449,0.9045364716769084
E01003942,Southwark 006D,C,Deprived,Housing Disadvantage,3,4,7,0.5504136034012027,0.5780346820809248,Tier 4,0.5270805092657501,0.5111443865623838,0.046202867764206,0.2729748127978216,0.0759493670886076,0.3306962025316455,0.2841444270015698,0.0213049267643142,0.1362916006339144,0.3834198819722266,0.6281178040043253,0.1541980518200111,0.7332644833208788,0.68206312947592
